Global Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Anomaly
1880,-0.16
1881,-0.13
1882,-0.11
1883,-0.22
1884,-0.30
1885,-0.34
1886,-0.25
1887,-0.31
1888,-0.18
1889,-0.07
1890,-0.28
1891,-0.20
1892,-0.23
1893,-0.32
1894,-0.23
1895,-0.20
1896,-0.07
1897,-0.06
1898,-0.23
1899,-0.15
1900,-0.08
1901,-0.11
1902,-0.23
1903,-0.31
1904,-0.44
1905,-0.26
1906,-0.21
1907,-0.33
1908,-0.40
1909,-0.44
1910,-0.38
1911,-0.44
1912,-0.32
1913,-0.35
1914,-0.15
1915,-0.08
1916,-0.27
1917,-0.43
1918,-0.28
1919,-0.23
1920,-0.23
1921,-0.17
1922,-0.25
1923,-0.26
1924,-0.21
1925,-0.22
1926,-0.07
1927,-0.17
1928,-0.17
1929,-0.30
1930,-0.12
1931,-0.06
1932,-0.11
1933,-0.24
1934,-0.11
1935,-0.16
1936,-0.13
1937,0.01
1938,0.03
1939,-0.03
1940,0.14
1941,0.22
1942,0.08
1943,0.09
1944,0.24
1945,0.15
1946,-0.02
1947,-0.01
1948,-0.05
1949,-0.06
1950,-0.13
1951,-0.03
1952,0.05
1953,0.13
1954,-0.07
1955,-0.12
1956,-0.18
1957,0.05
1958,0.08
1959,0.08
1960,0.01
1961,0.08
1962,0.05
1963,0.08
1964,-0.14
1965,-0.07
1966,-0.03
1967,0.01
1968,-0.06
1969,0.07
1970,0.07
1971,-0.05
1972,0.01
1973,0.21
1974,-0.05
1975,0.02
1976,-0.05
1977,0.22
1978,0.11
1979,0.20
1980,0.30
1981,0.34
1982,0.17
1983,0.35
1984,0.21
1985,0.17
1986,0.22
1987,0.32
1988,0.42
1989,0.28
1990,0.45
1991,0.43
1992,0.23
1993,0.28
1994,0.31
1995,0.49
1996,0.36
1997,0.49
1998,0.63
1999,0.41
2000,0.44
2001,0.54
2002,0.63
2003,0.62
2004,0.55
2005,0.70
2006,0.65
2007,0.67
2008,0.54
2009,0.66
2010,0.75
2011,0.63
2012,0.67
2013,0.68
2014,0.76
2015,0.89
2016,1.04
2017,0.94
2018,0.85
2019,0.97
2020,1.03
2021,0.86
2022,0.91
2023,1.15
