Entity,Year,Population,Population(bn),Age
World,-10000,4432266,0.004,11950
World,-9000,5616996,0.006,10950
World,-8000,7242892,0.007,9950
World,-7000,9577918,0.01,8950
World,-6000,13201832,0.013,7950
World,-5000,19075771,0.019,6950
World,-4000,28774661,0.029,5950
World,-3000,44487162,0.044,4950
World,-2000,72586076,0.073,3950
World,-1000,110419521,0.11,2950
World,0,232123764,0.232,1950
World,100,236904172,0.237,1850
World,200,240611571,0.241,1750
World,300,227549847,0.228,1650
World,400,241539639,0.242,1550
World,500,253237316,0.253,1450
World,600,271478693,0.271,1350
World,700,278185334,0.278,1250
World,800,285713840,0.286,1150
World,900,310967715,0.311,1050
World,1000,323407571,0.323,950
World,1100,397923813,0.398,850
World,1200,444750686,0.445,750
World,1300,456388961,0.456,650
World,1400,442480612,0.442,550
World,1500,503240399,0.503,450
World,1600,516610918,0.517,350
World,1700,592706212,0.593,250
World,1710,613189457,0.613,240
World,1720,642718111,0.643,230
World,1730,664743383,0.665,220
World,1740,695346690,0.695,210
World,1750,745664133,0.746,200
World,1760,779891857,0.78,190
World,1770,818827900,0.819,180
World,1780,891048681,0.891,170
World,1790,931577684,0.932,160
World,1800,985340629,0.985,150
World,1801,987628322,0.988,149
World,1802,991098738,0.991,148
World,1803,994610260,0.995,147
World,1804,998163240,0.998,146
World,1805,1001758044,1.002,145
World,1806,1005395067,1.005,144
World,1807,1009074742,1.009,143
World,1808,1012797513,1.013,142
World,1809,1016563866,1.017,141
World,1810,1022629692,1.023,140
World,1811,1027487469,1.027,139
World,1812,1033636618,1.034,138
World,1813,1040443689,1.04,137
World,1814,1047427292,1.047,136
World,1815,1054586106,1.055,135
World,1816,1061924513,1.062,134
World,1817,1069447070,1.069,133
World,1818,1077158552,1.077,132
World,1819,1084757875,1.085,131
World,1820,1093424863,1.093,130
World,1821,1099331577,1.099,129
World,1822,1106263783,1.106,128
World,1823,1113514792,1.114,127
World,1824,1120876169,1.121,126
World,1825,1128342960,1.128,125
World,1826,1135961188,1.136,124
World,1827,1143684846,1.144,123
World,1828,1151515422,1.152,122
World,1829,1158898384,1.159,121
World,1830,1166619223,1.167,120
World,1831,1172266726,1.172,119
World,1832,1178216298,1.178,118
World,1833,1183684120,1.184,117
World,1834,1189202983,1.189,116
World,1835,1194812021,1.195,115
World,1836,1200422586,1.2,114
World,1837,1206132721,1.206,113
World,1838,1211908617,1.212,112
World,1839,1217625799,1.218,111
World,1840,1224117982,1.224,110
World,1841,1228828189,1.229,109
World,1842,1234333753,1.234,108
World,1843,1239880237,1.24,107
World,1844,1245319917,1.245,106
World,1845,1250936428,1.251,105
World,1846,1256637463,1.257,104
World,1847,1262424720,1.262,103
World,1848,1268300005,1.268,102
World,1849,1273394934,1.273,101
World,1850,1278810377,1.279,100
World,1851,1280744899,1.281,99
World,1852,1282983708,1.283,98
World,1853,1284472373,1.284,97
World,1854,1286078878,1.286,96
World,1855,1287785678,1.288,95
World,1856,1289613085,1.29,94
World,1857,1291556308,1.292,93
World,1858,1293616943,1.294,92
World,1859,1296053087,1.296,91
World,1860,1300098076,1.3,90
World,1861,1302046862,1.302,89
World,1862,1305560612,1.306,88
World,1863,1309444051,1.309,87
World,1864,1313410603,1.313,86
World,1865,1317453657,1.317,85
World,1866,1321572626,1.322,84
World,1867,1325775239,1.326,83
World,1868,1330060419,1.33,82
World,1869,1334928493,1.335,81
World,1870,1341697614,1.342,80
World,1871,1346406314,1.346,79
World,1872,1353032986,1.353,78
World,1873,1360261504,1.36,77
World,1874,1367561973,1.368,76
World,1875,1374962430,1.375,75
World,1876,1382443050,1.382,74
World,1877,1389974777,1.39,73
World,1878,1397574403,1.398,72
World,1879,1405702618,1.406,71
World,1880,1415841209,1.416,70
World,1881,1423704727,1.424,69
World,1882,1433553127,1.434,68
World,1883,1444009167,1.444,67
World,1884,1454595037,1.455,66
World,1885,1465369425,1.465,65
World,1886,1476245076,1.476,64
World,1887,1487277339,1.487,63
World,1888,1498437207,1.498,62
World,1889,1509373834,1.509,61
World,1890,1521669265,1.522,60
World,1891,1530611585,1.531,59
World,1892,1540822549,1.541,58
World,1893,1550822689,1.551,57
World,1894,1560960959,1.561,56
World,1895,1571250732,1.571,55
World,1896,1581628826,1.582,54
World,1897,1592152786,1.592,53
World,1898,1602801870,1.603,52
World,1899,1614109121,1.614,51
World,1900,1627883132,1.628,50
World,1901,1638647517,1.639,49
World,1902,1651840077,1.652,48
World,1903,1665703540,1.666,47
World,1904,1679752718,1.68,46
World,1905,1693984163,1.694,45
World,1906,1708411294,1.708,44
World,1907,1723032738,1.723,43
World,1908,1737874788,1.738,42
World,1909,1752122665,1.752,41
World,1910,1767847653,1.768,40
World,1911,1778784032,1.779,39
World,1912,1791197929,1.791,38
World,1913,1803056235,1.803,37
World,1914,1815104863,1.815,36
World,1915,1827290389,1.827,35
World,1916,1839559287,1.84,34
World,1917,1851899055,1.852,33
World,1918,1864869126,1.865,32
World,1919,1878650358,1.879,31
World,1920,1895682150,1.896,30
World,1921,1908748639,1.909,29
World,1922,1924826120,1.925,28
World,1923,1941636900,1.942,27
World,1924,1958716901,1.959,26
World,1925,1976068839,1.976,25
World,1926,1993719848,1.994,24
World,1927,2011689749,2.012,23
World,1928,2029682397,2.03,22
World,1929,2048513689,2.049,21
World,1930,2070596353,2.071,20
World,1931,2088429965,2.088,19
World,1932,2109357892,2.109,18
World,1933,2131029147,2.131,17
World,1934,2152969392,2.153,16
World,1935,2175184808,2.175,15
World,1936,2197830032,2.198,14
World,1937,2220878589,2.221,13
World,1938,2244005191,2.244,12
World,1939,2266483407,2.266,11
World,1940,2290871362,2.291,10
World,1941,2307736768,2.308,9
World,1942,2326734579,2.327,8
World,1943,2344581440,2.345,7
World,1944,2362439908,2.362,6
World,1945,2380167769,2.38,5
World,1946,2397811266,2.398,4
World,1947,2416694412,2.417,3
World,1948,2437259361,2.437,2
World,1949,2463242071,2.463,1
World,1950,2499322112,2.499,0
World,1951,2543130368,2.543,-1
World,1952,2590270976,2.59,-2
World,1953,2640278784,2.64,-3
World,1954,2691979264,2.692,-4
World,1955,2746072064,2.746,-5
World,1956,2801002752,2.801,-6
World,1957,2857866752,2.858,-7
World,1958,2916108032,2.916,-8
World,1959,2970292224,2.97,-9
World,1960,3019233536,3.019,-10
World,1961,3068370688,3.068,-11
World,1962,3126686720,3.127,-12
World,1963,3195779328,3.196,-13
World,1964,3267212288,3.267,-14
World,1965,3337112064,3.337,-15
World,1966,3406416896,3.406,-16
